"","A1-6854_S1","A3-6830_S17","B1-6855_S2","B2-6813_S10","B3-6832_S18","C1-6872_S3","C2-6821_S11","C3-6835_S19","D1-6863_S4","D2-6822_S12","D3-6843_S20","E1-6870_S5","E2-6826_S13","F1-6803_S6","F2-6845_S14","G1-6806_S7","G2-6847_S15_1","H1-6807_S8","H2-6848_S16"
"DN380937",0,2,8,5,0,4,0,2,9,3,2,0,2,3,5,7,0,7,3
"DN380953",57,2,17,4,60,0,44,37,8,123,94,0,262,1,104,0,96,0,23
"DN380956",0,1,4,2,6,1,2,4,4,5,8,1,5,2,2,2,10,1,3
"DN380966",0,0,0,0,0,0,1,0,1,2,0,0,2,1,0,0,0,1,0
"DN380975",2,6,10,8,7,4,10,1,13,9,6,2,53,3,3,2,4,0,1
"DN380978",0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0
"DN380989",1,4,5,2,3,1,2,2,3,0,6,0,6,0,0,2,0,0,1
"DN381005",3,2,0,0,0,0,2,0,2,1,1,2,9,0,1,0,4,0,0
"DN381007",2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"DN381013",37,14,30,17,43,33,28,26,55,10,41,18,26,39,34,22,16,23,8
"DN381016",0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"DN381019",4,5,19,3,5,5,11,5,6,14,6,2,26,2,3,0,1,0,3
"DN381027",3,10,6,3,7,2,1,4,4,12,6,4,19,5,2,2,4,3,1
"DN381040",453,5304,0,0,0,1,0,0,19,0,13,0,0,256,0,0,1343,379,84
"DN381052",2,1,4,4,4,6,0,2,10,0,3,2,0,3,0,0,1,3,3
"DN381059",0,0,2,1,0,0,0,0,0,2,2,0,2,2,1,0,0,4,2
"DN381085",0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0
"DN381093",1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,1
"DN381097",1,6,5,5,7,3,1,4,1,3,8,0,3,4,0,3,2,3,2
"DN381099",1,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DN381103",0,0,0,0,0,1,2,0,1,4,0,0,3,0,0,0,0,1,0
"DN381104",0,0,0,0,1,0,0,0,2,0,4,0,1,0,1,0,0,3,0
"DN381123",0,1,1,2,1,0,2,2,1,3,3,0,1,1,0,0,0,2,2
"DN381138",0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0
"DN381152",0,0,0,1,0,0,2,0,1,0,0,1,3,0,0,0,0,0,0
"DN381177",2,4,0,246,64,0,204,24,0,0,0,0,0,32,32,28,44,20,48
"DN381182",1,3,3,2,3,1,0,5,3,1,3,3,0,1,4,3,0,8,1
"DN381208",4,1,6,5,10,5,0,3,10,1,7,2,3,4,1,4,0,1,8
"DN381211",1,2,1,2,2,0,0,4,0,0,8,1,0,3,0,1,0,4,0
"DN381214",2,1,5,5,5,0,1,1,8,5,0,1,7,0,1,1,2,1,0
"DN381221",0,10,0,11,3,12,0,1,20,0,11,14,8,26,19,24,1,20,6
"DN381222",21,22,23,20,20,20,47,42,26,4,9,4,31,37,25,24,17,20,14
"DN381236",8,20,15,5,31,5,3,17,8,6,23,4,11,6,9,2,6,5,3
"DN381247",0,0,1,0,4,0,0,0,1,0,4,0,0,0,0,0,2,0,0
"DN381257",38,59,96,73,61,58,77,48,144,77,102,38,144,56,47,73,28,36,20
"DN381274",0,813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,4
"DN381290",0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,2,0,1
"DN381325",2,0,1,0,1,0,2,0,3,1,1,1,4,0,0,0,1,0,2
"DN381340",1,0,3,0,0,0,0,0,0,1,0,0,10,0,0,0,2,0,0
"DN381343",0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0
"DN381351",0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"DN381375",1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"DN381379",1,0,1,0,2,1,0,0,0,2,1,0,1,0,0,0,0,0,0
"DN381385",0,0,0,0,1,0,0,0,1,0,1,1,3,0,0,0,1,0,1
"DN381388",2,5,2,1,3,2,1,2,9,1,3,1,1,1,0,1,4,0,4
"DN381389",0,4,0,0,0,0,0,3,0,0,11,4,0,0,0,0,0,0,4
"DN381425",53,40,91,198,63,78,78,35,114,117,145,24,240,98,68,98,94,99,81
"DN381426",0,0,0,0,0,0,0,3,0,0,1,1,0,2,0,1,1,1,1
"DN381457",1,1,1,2,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0
"DN381469",6,13,13,14,8,3,3,5,28,9,23,0,7,6,4,11,0,9,4
"DN381485",4,6,13,4,12,10,15,4,14,5,5,4,9,4,3,7,2,3,0
"DN381494",1,1,2,2,2,1,0,0,5,0,0,0,2,0,0,1,0,0,0
"DN381496",2,4,4,1,7,1,5,4,5,3,4,0,8,2,1,3,1,1,1
"DN381509",1,2,0,1,0,1,0,0,2,0,0,1,1,1,2,2,0,0,0
"DN381512",1,1,5,3,10,1,2,2,5,4,8,0,14,5,3,4,2,8,0
"DN381515",2,2,3,0,0,0,2,0,3,2,2,2,4,0,1,1,0,0,0
"DN381517",1,0,3,0,0,2,0,2,1,1,0,2,0,0,0,1,1,0,1
"DN381524",0,3,1,1,0,0,3,1,3,2,5,0,0,1,1,0,2,0,1
"DN381527",20,48,40,19,56,19,22,52,63,28,60,18,20,9,16,25,7,19,4
